Run Date,Symbol,Company,Sector,Industry,Total Score,Tech Score,Fund Score,Grade,Flags,Close (₹),Day Change %,EMA 20,EMA 50,EMA 200,EMA Stack ✓,Supertrend,% from 52W High,RSI (14),MACD,MACD Signal,MACD Histogram,MACD Cross ✓,ADX,Volume,20D Avg Volume,Volume Ratio,Market Cap (Cr),P/E Ratio,Forward P/E,ROE %,Debt/Equity,Revenue Growth %,Earnings Growth %,Price/Book,Dividend Yield %,Current Ratio,Screener Link,TradingView Link
2026-06-25,UNIONBANK,Union Bank of India,Financial Services,Banks - Regional,62.0,32.2,29.8,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🎯 VCP Pattern | 📉 Tight Base | 👤 High Promoter,174.83,-0.17,170.99,170.69,163.04,✓,Buy,85.08,58.52,2.164,1.1755,0.9885,,14.25,13079969,13802249,0.95,133367.0,6.8621373,6.8076015,15.71,,,,0.9993537,286.0,,https://www.screener.in/company/UNIONBANK/,https://www.tradingview.com/chart/?symbol=NSE:UNIONBANK
2026-06-25,ARVIND,Arvind Limited,Consumer Cyclical,Textile Manufacturing,61.900000000000006,46.1,15.8,B,🔥 Breakout Confirmed | ⚡ Fresh MACD Cross | ✅ Supertrend Buy | 📈 EMA Bull Stack | 📊 High Volume | 🏆 At 52W High | 📉 Tight Base,556.1,6.62,500.71,463.63,388.22,✓,Buy,99.04,76.86,19.0384,17.144,1.8944,✓,40.18,2384319,888940,2.68,14344.0,34.658012,20.429304,10.66,40.071,15.0,5.9,3.5428739,67.0,1.141,https://www.screener.in/company/ARVIND/,https://www.tradingview.com/chart/?symbol=NSE:ARVIND
2026-06-25,METROPOLIS,Metropolis Healthcare Limited,Healthcare,Diagnostics & Research,61.900000000000006,40.2,21.7,B,⚡ Fresh MACD Cross | ✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High | 📉 Tight Base,553.2,1.83,536.87,519.76,489.29,✓,Buy,92.38,59.59,7.4569,7.1712,0.2857,✓,28.81,190563,202233,0.94,11265.0,59.18845,35.844833,13.37,15.212,23.0,73.0,7.430224,36.0,1.403,https://www.screener.in/company/METROPOLIS/,https://www.tradingview.com/chart/?symbol=NSE:METROPOLIS
2026-06-25,GRSE,Garden Reach Shipbuilders & Engineers Limited,Industrials,Aerospace & Defense,61.400000000000006,29.8,31.6,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 📉 Tight Base | 💎 High ROE | 👤 High Promoter,2782.7,-0.7,2727.59,2685.72,2553.13,✓,Buy,79.2,55.01,30.6465,9.8414,20.8051,,16.65,747160,950964,0.79,31213.0,45.330227,32.438095,31.79,1.424,29.1,24.2,11.884885,96.0,1.234,https://www.screener.in/company/GRSE/,https://www.tradingview.com/chart/?symbol=NSE:GRSE
2026-06-25,PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,61.4,37.8,23.6,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 At 52W High | 📉 Tight Base | 💎 High ROE,1579.0,0.79,1530.13,1481.28,1460.62,✓,Buy,98.73,70.96,35.3388,31.6725,3.6663,,32.57,779349,979991,0.8,162539.0,66.541664,52.532238,23.52,3.776,14.1,37.0,15.009257,63.0,2.38,https://www.screener.in/company/PIDILITIND/,https://www.tradingview.com/chart/?symbol=NSE:PIDILITIND
2026-06-25,DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,60.8,34.6,26.2,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High | 📉 Tight Base | 🏦 Zero Debt,6753.5,0.1,6697.2,6602.45,6410.71,✓,Buy,95.94,54.94,33.077,26.8106,6.2664,,23.27,252591,336245,0.75,178222.0,69.51232,47.638165,16.19,0.042,9.5,13.6,10.625502,44.0,5.431,https://www.screener.in/company/DIVISLAB/,https://www.tradingview.com/chart/?symbol=NSE:DIVISLAB
2026-06-25,ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,60.7,29.2,31.5,B,📤 20D Breakout | ✅ Supertrend Buy | 🏆 Near 52W High | 📉 Tight Base,1373.6,2.64,1314.3,1298.79,1337.16,✗,Buy,92.28,68.96,23.6184,16.0966,7.5218,,27.08,16440708,15431564,1.07,995204.0,18.569324,15.254966,16.36,,66.9,8.4,2.736762,80.0,,https://www.screener.in/company/ICICIBANK/,https://www.tradingview.com/chart/?symbol=NSE:ICICIBANK
2026-06-25,POLYCAB,Polycab India Limited,Industrials,Electrical Equipment & Parts,60.2,34.6,25.6,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High | 📉 Tight Base | 💎 High ROE,9692.5,-2.3,9615.56,9099.34,7958.11,✓,Buy,95.72,56.69,237.7041,252.4519,-14.7478,,27.2,338045,272075,1.24,143516.0,53.73513,38.463657,24.58,2.558,26.9,8.0,11.94894,48.0,1.841,https://www.screener.in/company/POLYCAB/,https://www.tradingview.com/chart/?symbol=NSE:POLYCAB
2026-06-25,ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,59.8,35.4,24.4,C,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 At 52W High | 📉 Tight Base | 👤 High Promoter,3069.7,3.6,2939.24,2726.02,2427.17,✓,Buy,99.29,65.51,91.5811,103.6859,-12.1047,,45.42,2527812,2022948,1.25,416810.0,41.237953,45.792095,13.66,119.56,20.3,,4.8527946,4.0,1.035,https://www.screener.in/company/ADANIENT/,https://www.tradingview.com/chart/?symbol=NSE:ADANIENT
2026-06-25,TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,59.6,32.2,27.4,C,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High | 📉 Tight Base | 💎 High ROE,4323.8,0.43,4257.89,4231.37,4033.48,✓,Buy,93.89,55.6,44.8575,22.7452,22.1123,,12.78,652078,857723,0.76,380658.0,75.19362,50.090145,37.13,195.001,80.5,35.1,24.261766,25.0,1.276,https://www.screener.in/company/TITAN/,https://www.tradingview.com/chart/?symbol=NSE:TITAN
